err_x,err_y,err_z,rot_x_1,rot_x_2,rot_x_3,rot_y_1,rot_y_2,rot_y_3,rot_z_1,rot_z_2,rot_z_3,root_linvels_x,root_linvels_y,root_linvels_z,root_angvels_x,root_angvels_y,root_angvels_z,relative_pos0_x,relative_pos0_y,relative_pos0_z,relative_pos1_x,relative_pos1_y,relative_pos1_z,relative_pos2_x,relative_pos2_y,relative_pos2_z,relative_pos3_x,relative_pos3_y,relative_pos3_z
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0010591921,0.0010744507,-0.04056728,0.99998975,0.0044424706,0.00048508632,-0.004442137,0.9999896,-0.0006862537,-0.00048813006,0.000684092,0.9999994,2.8625156e-05,-0.00040757738,-0.07549823,-0.040775597,-0.029619353,0.26641577,0.0010591921,0.0010744507,-0.04056728,0.033081632,0.033090852,-0.04056728,0.09768577,0.097545706,-0.04056728,0.18427491,0.18324889,-0.04056728
0.0041191746,0.004142051,-0.038050532,0.9999103,0.013315156,0.001443087,-0.013312187,0.9999093,-0.0020484594,-0.0014702316,0.002029065,0.99999684,-6.630435e-05,-0.00072419597,-0.15099356,-0.08120007,-0.05818979,0.5321834,0.0041191746,0.004142051,-0.038050532,0.043809604,0.043818466,-0.038050532,0.11348772,0.11326706,-0.038050532,0.20360747,0.20222616,-0.038050532
0.009013979,0.009044374,-0.03427589,0.99964166,0.026607634,0.0028384055,-0.026595922,0.9996376,-0.0040876935,-0.0029461419,0.00401074,0.9999873,-0.00031209763,-0.0008692216,-0.22648597,-0.12063874,-0.08613006,0.79731464,0.009013979,0.009044374,-0.03427589,0.05573143,0.055733092,-0.03427589,0.13011152,0.12977517,-0.03427589,0.22353128,0.22170475,-0.03427589
0.015568361,0.015605879,-0.029242754,0.99900687,0.044306405,0.0046414183,-0.044274338,0.99899596,-0.006797693,-0.004937941,0.0065854485,0.9999658,-0.00072964,-0.00077343633,-0.30197647,-0.15864685,-0.113865085,1.0618773,0.015568361,0.015605879,-0.029242754,0.068741485,0.068725504,-0.029242754,0.14748706,0.14699109,-0.029242754,0.24399598,0.24162032,-0.029242754
0.02365582,0.023676509,-0.022951484,0.99777037,0.06639234,0.0068225814,-0.0663212,0.9977466,-0.010172817,-0.007482604,0.009697652,0.9999251,-0.0013372144,-0.00038065217,-0.37746736,-0.19495295,-0.14187159,1.3260006,0.02365582,0.023676509,-0.022951484,0.08277363,0.082702115,-0.022951484,0.16557963,0.16484727,-0.022951484,0.2649844,0.2619179,-0.022951484
0.033142667,0.033129,-0.015401959,0.9956372,0.092835195,0.009353144,-0.09269755,0.99559253,-0.014209024,-0.010631021,0.013280024,0.9998549,-0.0021551752,0.00035271788,-0.45296174,-0.22934969,-0.17064413,1.5898349,0.033142667,0.033129,-0.015401959,0.097746804,0.09758385,-0.015401959,0.18433595,0.18328704,-0.015401959,0.28645918,0.282552,-0.015401959
0.043931674,0.043841355,-0.006594181,0.9922582,0.123589136,0.012206613,-0.123347245,0.9921833,-0.018904123,-0.014447545,0.017252121,0.9997466,-0.0032093716,0.0014568414,-0.5284634,-0.26160982,-0.20072474,1.8535516,0.043931674,0.043841355,-0.006594181,0.11360979,0.113289945,-0.006594181,0.20372954,0.20224905,-0.006594181,0.30840784,0.30347073,-0.006594181
0.055906907,0.055702575,0.0034720302,0.98722553,0.15858494,0.015360143,-0.15818907,0.98711056,-0.024255672,-0.019008748,0.02151602,0.9995875,-0.004535862,0.0029527831,-0.60397685,-0.2913346,-0.23269118,2.1173272,0.055906907,0.055702575,0.0034720302,0.13028699,0.12974465,0.0034720302,0.22370675,0.22167423,0.0034720302,0.33078986,0.3246238,0.0034720302
0.069008514,0.068595804,0.014797151,0.9800783,0.19771896,0.018793419,-0.19710572,0.97991484,-0.030260516,-0.024399035,0.025953392,0.99936503,-0.0061828676,0.0048494926,-0.6795064,-0.31806898,-0.26700774,2.3813276,0.069008514,0.068595804,0.014797151,0.14775409,0.14686139,0.014797151,0.24426301,0.24149062,0.014797151,0.353612,0.34594652,0.014797151
0.08314747,0.08243509,0.02738142,0.97030324,0.24084298,0.022487273,-0.23993374,0.9700869,-0.03691464,-0.030705249,0.030422948,0.9990651,-0.008213327,0.0071488447,-0.7550567,-0.34130043,-0.30398437,2.6456912,0.08314747,0.08243509,0.02738142,0.16595347,0.16458024,0.02738142,0.26535824,0.26165086,0.02738142,0.37684482,0.36739835,0.02738142
0.0982656,0.09715661,0.041225255,0.9573405,0.28775078,0.026418349,-0.28645056,0.9570739,-0.044213902,-0.03800691,0.034760226,0.99867237,-0.010705901,0.00984382,-0.83063227,-0.36059812,-0.34356195,2.9105067,0.0982656,0.09715661,0.041225255,0.18485475,0.1828598,0.041225255,0.28697798,0.28212476,0.041225255,0.40048322,0.3889549,0.041225255
0.114304066,0.112649076,0.05632931,0.940589,0.3381685,0.030551761,-0.33636534,0.9402857,-0.052156243,-0.046365,0.038781058,0.99817103,-0.013754017,0.0129172,-0.9062383,-0.37576833,-0.3852135,3.1758192,0.114304066,0.112649076,0.05632931,0.20442382,0.20160818,0.05632931,0.30910212,0.30282986,0.05632931,0.424516,0.41053933,0.05632931
0.13121015,0.12888253,0.07269418,0.9194169,0.39173833,0.0348354,-0.3893039,0.91910446,-0.060739376,-0.055811316,0.042283252,0.9975455,-0.017462745,0.016339779,-0.98188066,-0.38673013,-0.4280527,3.4416099,0.13121015,0.12888253,0.07269418,0.22462991,0.22081211,0.07269418,0.33171302,0.32376167,0.07269418,0.44893312,0.4321517,0.07269418
0.1489519,0.14573224,0.09032059,0.89317083,0.44800547,0.03919609,-0.444797,0.89289474,-0.06995681,-0.06633904,0.0450491,0.9967793,-0.02194689,0.020069785,-1.0575671,-0.39347202,-0.4708923,3.7078419,0.1489519,0.14573224,0.09032059,0.24546082,0.24036147,0.09032059,0.35480982,0.34481737,0.09032059,0.47374105,0.4536938,0.09032059
0.16747935,0.16317643,0.10920936,0.8611943,0.506407,0.04354059,-0.5022708,0.8610208,-0.07979165,-0.07789642,0.046846967,0.9958599,-0.027323341,0.024049597,-1.1333076,-0.39591062,-0.5124326,3.9744215,0.16747935,0.16317643,0.10920936,0.26688412,0.26024705,0.10920936,0.3783707,0.36599454,0.10920936,0.49892464,0.47516736,0.10920936
0.18677735,0.18113555,0.12936175,0.82284456,0.5662554,0.0477612,-0.5610325,0.82286364,-0.09020755,-0.09038149,0.047431227,0.9947768,-0.033709213,0.028202718,-1.2091149,-0.39374262,-0.55140626,4.24131,0.18677735,0.18113555,0.12936175,0.28890058,0.2804005,0.12936175,0.40240583,0.38723066,0.12936175,0.52449983,0.49651343,0.12936175
0.20678893,0.1995635,0.15077913,0.7775122,0.62673503,0.051742665,-0.62026876,0.7778406,-0.101143494,-0.10363775,0.046545967,0.993525,-0.04120764,0.03243443,-1.2850046,-0.38654292,-0.5865352,4.508518,0.20678893,0.1995635,0.15077913,0.31146723,0.30078518,0.15077913,0.4268811,0.40849465,0.15077913,0.55043817,0.51770455,0.15077913
